,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Hitachi City,Hitachi City,GPE,0.33078782,0.57780159,en,4.74761905,,10318530,S,33.91300000,130.81417000,ASIA,Japan,EAS
Miyazaki Prefecture,Miyazaki Prefecture,GPE,0.00000000,0.03623188,en,4.60000000,,1856717,P,31.91667000,131.41667000,ASIA,Japan,EAS
USA,USA,GPE,0.37792372,0.72500373,en,4.59772727,4078704-7,6252001,X,39.75999900,-98.50000000,NORTH-AMERICA,United States,CNA
Ibaraki,Ibaraki,GPE,0.20218579,0.53005464,en,4.57500000,110449-4,2111901,P,36.35000000,140.45000000,ASIA,Japan,EAS
east,east,LOC,0.06495726,0.48641200,en,4.55000000,,12212303,L,37.02332000,-77.36954000,NORTH-AMERICA,United States,ENA
California,California,GPE,-0.00425214,0.37933020,en,4.44772727,,11071615,L,34.68743000,-116.78467000,NORTH-AMERICA,United States,WNA
Kanagawa Prefecture,Kanagawa Prefecture,GPE,-0.06706087,0.36065273,en,4.32857143,4192186-0,1848354,P,35.43333000,139.65000000,ASIA,Japan,EAS
Rikuzentakata City,Rikuzentakata City,GPE,0.30230880,0.83639971,en,4.20000000,,0,,,,,,
the Kuril Trench,the Kuril Trench,LOC,0.27353859,0.98278599,en,4.14285714,,0,,,,,,
Shonai,Shonai,GPE,0.16974616,0.81874262,en,4.03333333,10156243-3,6300401,S,38.81222000,139.78722000,ASIA,Japan,EAS
Spain,Spain,GPE,0.07569759,0.43655732,en,4.01818182,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Matsue,Matsue,GPE,-0.15308328,0.92282263,en,3.97222222,4447732-6,1857550,P,35.48333000,133.05000000,ASIA,Japan,EAS
Gifu,Gifu,GPE,0.03938115,1.03867792,en,3.95000000,4331104-0,1863641,P,35.42291000,136.76039000,ASIA,Japan,EAS
Chuetsu,Chuetsu,GPE,-0.15601266,0.61561181,en,3.95000000,,0,,,,,,
Venezuela,Venezuela,GPE,0.07545842,1.37156783,en,3.91127820,4062512-6,3625428,A,8.00000000,-66.00000000,SOUTH-AMERICA,Venezuela,NSA
tenki.jp,tenki.jp,GPE,0.12933190,0.38978207,en,3.88750000,,0,,,,,,
the Nankai Trough,the Nankai Trough,LOC,-0.01939655,0.32725464,en,3.86666667,,0,,,,,,
Joetsu,Joetsu,GPE,-0.16263941,0.44021066,en,3.84285714,,6825489,P,37.14828000,138.23642000,ASIA,Japan,EAS
Yamanashi,Yamanashi,GPE,-0.07367796,0.53195352,en,3.82500000,4387301-7,1859100,P,35.66667000,138.56667000,ASIA,Japan,EAS
Aichi Prefecture,Aichi Prefecture,GPE,0.16776316,0.52302632,en,3.80000000,,1856057,P,35.18147000,136.90641000,ASIA,Japan,EAS
Northern Japan,Northern Japan,LOC,-0.11754386,0.59122807,en,3.80000000,,6015186,H,50.45000000,-67.47556000,NORTH-AMERICA,Canada,NEN
Ishikawa,Ishikawa,GPE,0.12781955,0.32863409,en,3.80000000,10191169-5,1860243,P,36.60000000,136.61667000,ASIA,Japan,EAS
Kumamoto Prefecture,Kumamoto Prefecture,LOC,0.02552553,0.36636637,en,3.70000000,,1857892,T,32.42944000,130.99099000,ASIA,Japan,EAS
Okayama,Okayama,GPE,0.28378378,0.47972973,en,3.70000000,4102047-9,1854383,P,34.65000000,133.93333000,ASIA,Japan,EAS
Pacific Ocean,Pacific Ocean,LOC,0.17117117,0.54654655,en,3.70000000,,0,,,,,,
Mie Prefecture,Mie Prefecture,GPE,-0.03330116,0.46086444,en,3.70000000,4819423-2,1849796,P,34.73333000,136.51667000,ASIA,Japan,EAS
Toshima Village,Toshima Village,GPE,0.00000000,0.00000000,en,3.70000000,,1849911,A,34.52264000,139.27927000,ASIA,Japan,EAS
Turkey,Turkey,GPE,-0.23648649,0.37162162,en,3.70000000,4061163-2,298795,A,39.00000000,35.00000000,EUROPE-AFRICA,Turkey,MED
Kamchatka Peninsula,Kamchatka Peninsula,LOC,0.11156156,0.43078078,en,3.70000000,,2125073,T,56.28672000,159.23540000,ASIA,Russia,RFE
J.League,J.League,GPE,-0.03354783,0.31797512,en,3.70000000,,0,,,,,,
Shizuoka Prefecture,Shizuoka Prefecture,LOC,0.13175676,0.33445946,en,3.70000000,4289915-1,1851717,P,34.98333000,138.38333000,ASIA,Japan,EAS
the Tama River,the Tama River,LOC,0.24778958,0.92098947,en,3.63333333,,4179612,H,31.31578000,-81.28482000,NORTH-AMERICA,United States,ENA
Europe,Europe,LOC,-0.15402299,0.84597701,en,3.62500000,,0,,,,,,
JR East,JR East,GPE,-0.05034722,0.22627315,en,3.60000000,,4207966,L,33.75492000,-84.37169000,NORTH-AMERICA,United States,ENA
Indonesia,Indonesia,GPE,0.28240741,0.64814815,en,3.60000000,4026761-1,1643084,A,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Kesennuma City,Kesennuma City,GPE,0.01970165,0.37921811,en,3.60000000,,0,,,,,,
Showa,Showa,GPE,-0.06797374,1.38277999,en,3.51071429,4508467-1,1851659,A,35.96667000,139.80000000,ASIA,Japan,EAS
